Publisher Name,Publisher Registry Id,Core Average (with valid data),Financials Average (with valid data),Value Added Average (with valid data),Weighted Average (with valid data),Core Average (with any data),Financials Average (with any data),Value Added Average (with any data),Weighted Average (with any data)
2X Global Limited,2xglobal,100.0,25.0,0.0,56.25,100.0,25.0,0.0,56.25
3F International,3fi,99.33333333333333,49.99999999999999,15.07936507936508,65.93650793650794,100.0,49.99999999999999,15.07936507936508,66.26984126984127
50 Eight Limited,fifty_eight,100.0,50.0,44.44444444444444,73.61111111111111,100.0,50.0,44.44444444444444,73.61111111111111
60 Decibels,60db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,90.0,37.5,16.666666666666668,58.541666666666664,100.0,37.5,16.666666666666668,63.541666666666664
Aasaman Nepal,aasaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAAD - Resource Center for Gender Equality,arcfge,98.46153846153847,79.16666666666666,18.803418803418804,73.7232905982906,100.0,79.16666666666666,18.803418803418804,74.49252136752136
Abaseen Foundation UK,abaseen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,100.0,75.0,11.11111111111111,71.52777777777777,100.0,75.0,11.11111111111111,71.52777777777777
Able Child Africa,ablechildafrica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abt Associates Inc,abt,90.0,25.0,22.22222222222222,56.80555555555556,100.0,50.0,22.22222222222222,68.05555555555556
Abt Britain Limited,abtbritain,90.0,50.0,33.333333333333336,65.83333333333333,100.0,50.0,33.333333333333336,70.83333333333333
Acacia Water,aw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academy for Health Development (AHEAD),ahead,90.0,100.0,22.22222222222222,75.55555555555556,100.0,100.0,22.22222222222222,80.55555555555556
Académie de recherche et d'enseignement supérieur,ares,99.51388888888889,97.72727272727272,22.605363984674327,79.8401036224312,99.51388888888889,97.72727272727272,22.605363984674327,79.8401036224312
Accelerator Nepal,acceleratornepal,100.0,50.0,22.22222222222222,68.05555555555556,100.0,50.0,22.22222222222222,68.05555555555556
Access to Finance Rwanda,afrwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Access to Medicine Foundation,atmf,100.0,75.0,33.333333333333336,77.08333333333333,100.0,75.0,33.333333333333336,77.08333333333333
Access to Seeds Foundation,atsf,92.30769230769229,0.0,21.36752136752137,51.49572649572649,100.0,0.0,21.36752136752137,55.34188034188034
ACCORD,accord_2024,100.0,50.0,77.77777777777777,81.94444444444444,100.0,50.0,77.77777777777777,81.94444444444444
Accountability Lab,alab,95.0,75.0,38.888888888888886,75.97222222222223,100.0,75.0,38.888888888888886,78.47222222222223
Accountable Now,accountablenow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aceli Africa, Inc.",aceliafrica,100.0,100.0,55.55555555555556,88.88888888888889,100.0,100.0,55.55555555555556,88.88888888888889
ACER International UK Ltd,aceruk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acid Survivors Foundation,_admin,100.0,50.0,22.22222222222222,68.05555555555556,100.0,50.0,22.22222222222222,68.05555555555556
ACODEV,acodev,100.0,100.0,37.77777777777778,84.44444444444444,100.0,100.0,37.77777777777778,84.44444444444444
Across,across,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACT Alliance,act_alliance,100.0,50.0,0.0,62.5,100.0,50.0,0.0,62.5
act4africa,act4africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTED,acted,80.0,25.0,33.333333333333336,54.583333333333336,100.0,25.0,33.333333333333336,64.58333333333333
ACTION AGAINST HUNGER SPAIN,acfspain,99.0,87.5,15.555555555555555,75.26388888888889,100.0,87.5,15.555555555555555,75.76388888888889
Action Against Hunger UK,acf,97.5,52.27272727272727,21.64351851851852,67.22906144781145,100.0,52.27272727272727,21.64351851851852,68.47906144781145
Action Against Hunger USA,aahusa,90.0,25.0,11.11111111111111,54.02777777777778,100.0,25.0,11.11111111111111,59.02777777777778
Action Aid Cambodia,aac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Action Canada for Sexual Health and Rights,acfshr,100.0,75.0,55.55555555555556,82.63888888888889,100.0,75.0,55.55555555555556,82.63888888888889
Action Contre la Faim,acf-fr,100.0,33.33333333333333,11.11111111111111,61.11111111111111,100.0,33.33333333333333,11.11111111111111,61.11111111111111
ActionAid Bangladesh,aab,100.0,67.85714285714286,22.22222222222222,72.51984126984128,100.0,67.85714285714286,33.333333333333336,75.29761904761905
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,100.0,67.1875,32.71604938271605,74.97588734567901,100.0,67.1875,32.71604938271605,74.97588734567901
ActionAid Ghana,aag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ActionAid International,aai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTIONAID INTERNATIONAL KENYA,aaik,100.0,75.0,44.44444444444444,79.86111111111111,100.0,75.0,44.44444444444444,79.86111111111111
ActionAid International Nepal,aain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ActionAid Rwanda,aar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ActionAid UK,aauk,98.37209302325581,71.58002735978113,25.86479953321664,73.54725323487735,100.0,71.58002735978113,31.291156122363923,75.71779587053626
Acumen,acumen,95.0,50.0,11.11111111111111,62.77777777777778,100.0,50.0,11.11111111111111,65.27777777777777
ACV-CSC International,iiwe,100.0,100.0,38.888888888888886,84.72222222222223,100.0,100.0,38.888888888888886,84.72222222222223
Adam Smith International,asi,100.0,51.388888888888886,33.023735810113514,71.1031561747506,100.0,51.388888888888886,33.023735810113514,71.1031561747506
Adaptation Fund,af,90.0,50.0,19.6969696969697,62.42424242424242,100.0,50.0,37.87878787878788,71.96969696969697
ADD International (Action on Disability and Development),addinternational,92.14285714285714,32.69230769230769,36.77248677248677,63.437627187627186,95.0,32.69230769230769,37.56613756613756,65.06461131461131
Adili Solar Hubs Limited,adili_sh,100.0,37.5,22.22222222222222,64.93055555555556,100.0,37.5,22.22222222222222,64.93055555555556
Administração de Infra-Estruturas de Águas e Saneamento,aias,100.0,75.0,33.333333333333336,77.08333333333333,100.0,75.0,33.333333333333336,77.08333333333333
ADRA Denmark,adra-dk,92.35294117647058,27.94117647058824,30.021786492374726,60.66721132897603,100.0,27.94117647058824,30.021786492374726,64.49074074074073
ADRA-UK,adrauk,95.0,75.0,22.22222222222222,71.80555555555556,95.0,75.0,22.22222222222222,71.80555555555556
ADS-Nyanza,ads-nyanza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advance Consulting,ac1999,100.0,62.5,59.25925925925925,80.43981481481481,100.0,62.5,59.25925925925925,80.43981481481481
Adventist Development and Relief Agency (ADRA Somalia),adrasom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Adventist Development and Relief Agency, Nepal",adra_nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AECOM,aecom,100.0,25.568181818181817,19.444444444444443,61.25315656565657,100.0,25.568181818181817,19.444444444444443,61.25315656565657
Aeras,aeras,90.0,75.0,11.11111111111111,66.52777777777777,100.0,75.0,11.11111111111111,71.52777777777777
AFELT,afelt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFEW International,afewinternational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan and Central Asian Association,acaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan Public Policy Research Organization (APPRO),appro-af,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa Climate Ventures,acv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa Educational Trust,aet,90.0,12.5,22.22222222222222,53.68055555555556,100.0,37.5,27.77777777777778,66.31944444444444
Africa Philanthropy Network,apn,100.0,100.0,55.55555555555556,88.88888888888889,100.0,100.0,55.55555555555556,88.88888888888889
Africalia,africalia,100.0,100.0,47.22222222222222,86.80555555555556,100.0,100.0,47.22222222222222,86.80555555555556
African Academy of Sciences,aas,80.0,25.0,33.333333333333336,54.583333333333336,100.0,25.0,33.333333333333336,64.58333333333333
African Center for Economic Transformation (ACET),acet,95.92592592592592,52.12962962962963,22.792742237186683,66.69355592966704,100.0,52.12962962962963,22.792742237186683,68.73059296670408
African Centre for Global Health and Social Transformation,achest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African Centre for Trade and Development,actade,90.0,50.0,38.888888888888886,67.22222222222223,100.0,50.0,38.888888888888886,72.22222222222223
African Development Bank,afdb,99.85739750445633,96.27831715210357,94.43282563550473,97.60648444913025,99.85739750445633,96.27831715210357,94.43282563550473,97.60648444913025
African Disability Forum (ADF),et-adf-0317,100.0,53.57142857142857,48.41269841269841,75.49603174603175,100.0,53.57142857142857,48.41269841269841,75.49603174603175
African Initiatives,ai_1064413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African Institute For Development Policy,afidep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African Parks Network,african_parks,100.0,25.0,29.365079365079364,63.59126984126984,100.0,25.0,29.365079365079364,63.59126984126984
African Population and Health Research Center,aphrc,100.0,75.0,22.22222222222222,74.30555555555556,100.0,75.0,22.22222222222222,74.30555555555556
African Revival,africanrevival,100.0,75.0,11.11111111111111,71.52777777777777,100.0,75.0,11.11111111111111,71.52777777777777
African Security Sector Network,assn,100.0,100.0,11.11111111111111,77.77777777777777,100.0,100.0,11.11111111111111,77.77777777777777
African Tax Administration Forum,ataf,100.0,50.0,22.22222222222222,68.05555555555556,100.0,50.0,22.22222222222222,68.05555555555556
African Women's Development and Communication Network,femnet,100.0,97.72727272727272,28.148148148148152,81.46885521885523,100.0,97.72727272727272,28.148148148148152,81.46885521885523
African Women's Development Fund,awdf,97.0,75.0,25.555555555555557,73.63888888888889,100.0,75.0,25.555555555555557,75.13888888888889
Afrikagrupperna Sweden,afrikagrupperna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AfriKids,afrikids,100.0,75.0,44.44444444444444,79.86111111111111,100.0,75.0,44.44444444444444,79.86111111111111
Aga Khan Foundation (United Kingdom),akfuk73,95.0,37.5,11.11111111111111,59.65277777777778,100.0,50.0,11.11111111111111,65.27777777777777
Aga Khan Foundation Afghanistan,akf_afghanistan,90.0,25.0,11.11111111111111,54.02777777777778,100.0,25.0,11.11111111111111,59.02777777777778
AgDevCo,agdevco,100.0,50.0,18.43971631205674,67.10992907801419,100.0,50.0,18.43971631205674,67.10992907801419
Agence Française de Développement,afd,100.0,97.06930148503183,62.71770994999138,89.9467528587558,100.0,97.06930148503183,62.72920618497442,89.94962691750156
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agency for Cooperation and Research in Development (ACORD),acord,100.0,25.0,55.55555555555556,70.13888888888889,100.0,25.0,55.55555555555556,70.13888888888889
AgResults Initiative,agresults,90.0,25.0,16.666666666666668,55.416666666666664,100.0,25.0,16.666666666666668,60.416666666666664
Agroicone,agroicone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agsol Limited,agsollimited,96.66666666666666,33.33333333333333,22.22222222222222,62.222222222222214,100.0,33.33333333333333,22.22222222222222,63.888888888888886
Agulhas Applied Knowledge,aak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,90.0,75.0,44.44444444444444,74.86111111111111,100.0,75.0,44.44444444444444,79.86111111111111
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,100.0,81.05405158222058,44.714331837619504,81.44209585496003,100.0,81.05405158222058,44.714331837619504,81.44209585496003
AidData,aiddata,95.80152671755725,40.624417766815,25.643908801458007,64.46784500084688,97.00622233626275,40.624417766815,28.68665261654129,65.83087876397045
AIDS and Rights Alliance for Southern Africa,arasaregional,92.5,43.75,30.555555555555557,64.82638888888889,100.0,43.75,30.555555555555557,68.57638888888889
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,92.0,73.0,41.77777777777778,74.69444444444444,100.0,73.0,41.77777777777778,78.69444444444444
AIDSPAN,aidspan,93.33333333333333,16.666666666666664,22.22222222222222,56.388888888888886,100.0,16.666666666666664,22.22222222222222,59.72222222222222
Air Charter Service Group Ltd,acs_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,90.0,25.0,22.22222222222222,56.80555555555556,100.0,25.0,22.22222222222222,61.80555555555556
Akili Dada,ad,100.0,50.0,43.20987654320988,73.30246913580247,100.0,50.0,43.20987654320988,73.30246913580247
Akina Mama wa Afrika,amwa,100.0,97.5,66.19047619047619,90.92261904761905,100.0,97.5,66.19047619047619,90.92261904761905
Aktis Strategy Ltd,aktis,97.5,43.75,18.51851851851852,64.31712962962963,97.5,43.75,18.51851851851852,64.31712962962963
Akvo Foundation,akvo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Majmoua,al_majmoua,95.0,50.0,27.77777777777778,66.94444444444444,100.0,50.0,27.77777777777778,69.44444444444444
Alcis Holdings Limited,alcis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfalit,alfalit,40.0,0.0,11.11111111111111,22.77777777777778,60.0,0.0,22.22222222222222,35.55555555555556
Alinea International Ltd.,alineainternational_2020,96.0,75.0,33.333333333333336,75.08333333333333,100.0,75.0,33.333333333333336,77.08333333333333
Alinea International Ltd. UK,alinea_uk,100.0,50.0,33.333333333333336,70.83333333333333,100.0,50.0,33.333333333333336,70.83333333333333
All We Can (formerly Methodist Relief and Development Fund),allwecan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergy and Asthma Institute Pakistan,aaip,90.0,25.0,22.22222222222222,56.80555555555556,100.0,25.0,22.22222222222222,61.80555555555556
Alliance for a Green Revolution for Africa,agra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alliance for Global Water Adaptation, Inc",agwa,90.0,50.0,22.22222222222222,63.05555555555556,100.0,50.0,22.22222222222222,68.05555555555556
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,100.0,50.0,11.11111111111111,65.27777777777777,100.0,50.0,11.11111111111111,65.27777777777777
Altai Consulting,altai,100.0,25.0,11.11111111111111,59.02777777777778,100.0,25.0,11.11111111111111,59.02777777777778
American Friends Service Committee,afsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American University of Beirut,auob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amnesty International The Netherlands,amnesty,91.0,75.0,16.11111111111111,68.27777777777777,100.0,75.0,16.11111111111111,72.77777777777777
Amnesty International UK Section Charitable Trust,aiuk,100.0,25.0,22.22222222222222,61.80555555555556,100.0,25.0,22.22222222222222,61.80555555555556
AmplifyChange,amplifychange,99.77011494252874,49.85632183908046,41.55161078238002,72.7370406266295,99.77011494252874,49.85632183908046,41.55161078238002,72.7370406266295
Amref Health Africa - UK,amrefha,96.66666666666666,41.666666666666664,48.148148148148145,70.78703703703702,100.0,41.666666666666664,48.148148148148145,72.4537037037037
Amref Health Africa Headquarters,amrefhq,100.0,75.0,33.333333333333336,77.08333333333333,100.0,75.0,33.333333333333336,77.08333333333333
Amref Health Africa in Ethiopia,amrefeth,100.0,75.0,33.333333333333336,77.08333333333333,100.0,75.0,33.333333333333336,77.08333333333333
Amref Health Africa in Kenya,amrefkenya,100.0,87.5,44.44444444444444,82.98611111111111,100.0,87.5,44.44444444444444,82.98611111111111
Amref health Africa in Senegal,awa_sn,100.0,100.0,33.333333333333336,83.33333333333333,100.0,100.0,33.333333333333336,83.33333333333333
Amref Health Africa in Tanzania,amreftz,95.0,50.0,38.888888888888886,69.72222222222223,95.0,50.0,38.888888888888886,69.72222222222223
Amref Health Africa in Uganda,amrefug,100.0,50.0,55.55555555555556,76.38888888888889,100.0,50.0,55.55555555555556,76.38888888888889
Amref Health Africa Malawi,amrefmw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amref Health Africa NL,amrefnl,97.81818181818183,74.33238636363636,47.557204700061845,79.38148867501546,100.0,74.33238636363636,47.557204700061845,80.47239776592455
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDA,anda,40.0,0.0,11.11111111111111,22.77777777777778,60.0,0.0,22.22222222222222,35.55555555555556
Anti-Slavery International,asil,90.0,25.0,33.333333333333336,59.583333333333336,100.0,25.0,33.333333333333336,64.58333333333333
Apollo Agriculture,apolloagriculture,100.0,25.0,22.22222222222222,61.80555555555556,100.0,25.0,22.22222222222222,61.80555555555556
APOPO,apopo,100.0,100.0,45.55555555555556,86.38888888888889,100.0,100.0,45.55555555555556,86.38888888888889
APPRO-Europe,appro-eu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APT Action on Poverty,apt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aqua for All,aqua4all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab foundation for freedoms and equality,afemena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
