Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
3F International,3fi,National NGO,0.0,0.0,71.52777777777777,23.84259259259259
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,National NGO,0.0,0.0,58.541666666666664,19.51388888888889
Aasaman Nepal,aasaman,National NGO,0.0,0.0,0.0,0.0
ABAAD - Resource Center for Gender Equality,arcfge,National NGO,12.5,58.666666666666664,73.7232905982906,48.296652421652425
Abaseen Foundation UK,abaseen,International NGO,0.0,0.0,0.0,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,"Academic, Training and Research",25.0,100.0,71.875,65.625
Able Child Africa,ablechildafrica,International NGO,0.0,0.0,0.0,0.0
Abt Associates Inc,abt,Private Sector,0.0,0.0,66.94444444444444,22.314814814814813
Abt Britain Limited,abtbritain,Private Sector,12.5,33.333333333333336,76.80555555555554,40.879629629629626
Acacia Water,aw,Private Sector,0.0,33.333333333333336,89.44444444444444,40.925925925925924
Académie de recherche et d'enseignement supérieur,ares,"Academic, Training and Research",12.5,0.0,0.0,4.166666666666667
Accelerator Nepal,acceleratornepal,National NGO,0.0,0.0,68.05555555555556,22.685185185185187
Access to Medicine Foundation,atmf,Foundation,0.0,0.0,0.0,0.0
Access to Seeds Foundation,atsf,International NGO,0.0,0.0,51.49572649572649,17.165242165242162
Acid Survivors Foundation,_admin,National NGO,0.0,0.0,68.05555555555556,22.685185185185187
ACODEV,acodev,National NGO,0.0,0.0,76.38888888888889,25.462962962962962
Across,across,International NGO,0.0,0.0,0.0,0.0
ACT Alliance,act_alliance,International NGO,0.0,0.0,62.5,20.833333333333332
act4africa,act4africa,International NGO,0.0,0.0,0.0,0.0
ACTED,acted,International NGO,0.0,0.0,58.19444444444444,19.39814814814815
ACTION AGAINST HUNGER SPAIN,acfspain,International NGO,0.0,0.0,76.63194444444444,25.54398148148148
Action Against Hunger UK,acf,International NGO,87.5,27.333333333333332,67.32142448823264,60.71825260718865
Action Against Hunger USA,aahusa,International NGO,0.0,0.0,54.02777777777778,18.00925925925926
Action Aid Cambodia,aac,International NGO,0.0,33.333333333333336,71.52777777777777,34.9537037037037
Action Canada for Sexual Health and Rights,acfshr,International NGO,50.0,66.66666666666667,82.63888888888889,66.43518518518518
Action Contre la Faim,acf-fr,International NGO,0.0,0.0,0.0,0.0
ActionAid Bangladesh,aab,International NGO,0.0,0.0,72.51984126984128,24.173280423280428
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,International NGO,62.5,0.0,75.18518518518519,45.89506172839506
ActionAid Ghana,aag,National NGO,0.0,0.0,0.0,0.0
ActionAid International,aai,International NGO,0.0,0.0,0.0,0.0
ACTIONAID INTERNATIONAL KENYA,aaik,International NGO,0.0,0.0,79.86111111111111,26.62037037037037
ActionAid Rwanda,aar,National NGO,0.0,0.0,0.0,0.0
ActionAid UK,aauk,International NGO,87.5,22.0,73.90824915824916,61.13608305274972
Acumen,acumen,International NGO,37.5,55.333333333333336,61.21527777777778,51.34953703703704
ACV-CSC International,iiwe,National NGO,37.5,100.0,84.72222222222223,74.07407407407408
Adam Smith International,asi,Private Sector,37.5,44.0,72.50291375291376,51.33430458430458
Adaptation Fund,af,Multilateral,0.0,0.0,62.42424242424242,20.808080808080806
ADD International (Action on Disability and Development),addinternational,International NGO,25.0,66.66666666666667,63.437627187627186,51.701431284764624
Adili Solar Hubs Limited,adili_sh,Private Sector,0.0,0.0,68.05555555555556,22.685185185185187
Administração de Infra-Estruturas de Águas e Saneamento,aias,Government,75.0,66.66666666666667,77.08333333333333,72.91666666666667
ADRA Denmark,adra-dk,National NGO,25.0,0.0,62.82407407407407,29.274691358024693
ADRA-UK,adrauk,International NGO,0.0,0.0,71.80555555555556,23.935185185185187
ADS-Nyanza,ads-nyanza,Other Public Sector,0.0,0.0,0.0,0.0
Advance Consulting,ac1999,Private Sector,37.5,0.0,88.88888888888889,42.129629629629626
Adventist Development and Relief Agency (ADRA Somalia),adrasom,International NGO,0.0,0.0,0.0,0.0
"Adventist Development and Relief Agency, Nepal",adra_nepal,International NGO,0.0,0.0,0.0,0.0
AECOM,aecom,Private Sector,0.0,0.0,61.25315656565657,20.417718855218855
Aeras,aeras,International NGO,0.0,0.0,66.52777777777777,22.175925925925924
AFEW International,afewinternational,International NGO,0.0,0.0,0.0,0.0
Afghanaid,afghanaid,International NGO,25.0,0.0,54.72222222222222,26.574074074074076
Afghanistan and Central Asian Association,acaa,International NGO,0.0,0.0,0.0,0.0
Afghanistan Public Policy Research Organization (APPRO),appro-af,"Academic, Training and Research",0.0,0.0,0.0,0.0
Africa Educational Trust,aet,International NGO,0.0,0.0,53.68055555555556,17.89351851851852
Africalia,africalia,Other Public Sector,37.5,90.0,86.80555555555556,71.43518518518518
African Academy of Sciences,aas,International NGO,0.0,0.0,54.583333333333336,18.194444444444446
African Center for Economic Transformation (ACET),acet,Regional NGO,0.0,0.0,66.69355592966704,22.231185309889014
African Centre for Global Health and Social Transformation,achest,International NGO,0.0,0.0,0.0,0.0
African Development Bank,afdb,Multilateral,100.0,55.333333333333336,97.57652302855831,84.30328545396388
African Disability Forum (ADF),et-adf-0317,Regional NGO,12.5,66.66666666666667,80.95238095238095,53.37301587301587
African Initiatives,ai_1064413,International NGO,0.0,0.0,0.0,0.0
African Institute For Development Policy,afidep,International NGO,0.0,0.0,0.0,0.0
African Parks Network,african_parks,International NGO,0.0,0.0,63.59126984126984,21.197089947089946
African Population and Health Research Center,aphrc,International NGO,0.0,0.0,74.30555555555556,24.76851851851852
African Revival,africanrevival,International NGO,0.0,0.0,71.52777777777777,23.84259259259259
African Security Sector Network,assn,National NGO,0.0,0.0,77.77777777777777,25.925925925925924
African Tax Administration Forum,ataf,International NGO,0.0,0.0,68.05555555555556,22.685185185185187
African Women's Development and Communication Network,femnet,Regional NGO,12.5,47.333333333333336,79.52380952380952,46.452380952380956
African Women's Development Fund,awdf,Regional NGO,37.5,16.666666666666668,73.63888888888889,42.601851851851855
Afrikagrupperna Sweden,afrikagrupperna,International NGO,0.0,0.0,0.0,0.0
AfriKids,afrikids,International NGO,0.0,0.0,79.86111111111111,26.62037037037037
Aga Khan Foundation (United Kingdom),akfuk73,International NGO,50.0,11.0,64.30555555555554,41.76851851851851
Aga Khan Foundation Afghanistan,akf_afghanistan,Foundation,0.0,0.0,54.02777777777778,18.00925925925926
AgDevCo,agdevco,Private Sector,0.0,0.0,63.9937106918239,21.331236897274632
Agence Française de Développement,afd,Other Public Sector,87.5,87.33333333333333,89.75945382548599,88.19759571960644
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,Government,0.0,0.0,0.0,0.0
Agency for Cooperation and Research in Development (ACORD),acord,International NGO,0.0,0.0,70.13888888888889,23.37962962962963
AgResults Initiative,agresults,Multilateral,0.0,8.333333333333334,55.69444444444444,21.34259259259259
Agroicone,agroicone,Private Sector,0.0,0.0,0.0,0.0
Agsol Limited,agsollimited,Private Sector,12.5,0.0,62.43055555555556,24.97685185185185
Agulhas Applied Knowledge,aak,Private Sector,0.0,0.0,0.0,0.0
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,Government,12.5,0.0,74.86111111111111,29.12037037037037
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,Government,100.0,6.0,80.63292779343266,62.21097593114422
AidData,aiddata,"Academic, Training and Research",0.0,0.0,64.46784500084688,21.48928166694896
AIDS and Rights Alliance for Southern Africa,arasaregional,Regional NGO,12.5,16.666666666666668,64.82638888888889,31.33101851851852
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,International NGO,50.0,50.0,76.19378306878306,58.73126102292769
AIDSPAN,aidspan,International NGO,0.0,0.0,56.388888888888886,18.796296296296294
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,National NGO,0.0,0.0,56.80555555555556,18.935185185185187
Akili Dada,ad,National NGO,0.0,0.0,73.30246913580247,24.43415637860082
Akina Mama wa Afrika,amwa,International NGO,12.5,40.666666666666664,89.67893217893217,47.61519961519961
Aktis Strategy Ltd,aktis,Private Sector,0.0,0.0,64.31712962962963,21.439043209876544
Akvo Foundation,akvo,International NGO,0.0,0.0,0.0,0.0
Al Majmoua,al_majmoua,National NGO,0.0,0.0,66.94444444444444,22.314814814814813
Alcis Holdings Limited,alcis,Private Sector,0.0,0.0,0.0,0.0
Alfalit,alfalit,National NGO,0.0,0.0,22.77777777777778,7.592592592592593
Alinea International Ltd.,alineainternational_2020,Private Sector,37.5,0.0,64.93055555555556,34.14351851851852
All We Can (formerly Methodist Relief and Development Fund),allwecan,International NGO,0.0,0.0,0.0,0.0
Allergy and Asthma Institute Pakistan,aaip,"Academic, Training and Research",0.0,0.0,56.80555555555556,18.935185185185187
Alliance for a Green Revolution for Africa,agra,International NGO,25.0,0.0,68.05555555555556,31.01851851851852
"Alliance for Global Water Adaptation, Inc",agwa,International NGO,0.0,0.0,0.0,0.0
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,International NGO,0.0,0.0,65.27777777777777,21.759259259259256
Altai Consulting,altai,Private Sector,0.0,0.0,59.02777777777778,19.675925925925927
American Friends Service Committee,afsc,"Academic, Training and Research",0.0,0.0,0.0,0.0
Amnesty International The Netherlands,amnesty,International NGO,12.5,66.66666666666667,68.27777777777777,49.14814814814815
Amnesty International UK Section Charitable Trust,aiuk,International NGO,0.0,0.0,61.80555555555556,20.60185185185185
Amref Flying Doctors,amrefnl,National NGO,75.0,8.333333333333334,78.38233857527335,53.90522396953556
Amref Health Africa - UK,amrefha,International NGO,0.0,0.0,73.26388888888889,24.421296296296294
Amref Health Africa Headquarters,amrefhq,International NGO,12.5,0.0,77.08333333333333,29.86111111111111
Amref Health Africa in Ethiopia,amrefeth,International NGO,12.5,0.0,78.125,30.208333333333332
Amref Health Africa in Kenya,amrefkenya,International NGO,0.0,0.0,82.98611111111111,27.662037037037038
Amref health Africa in Senegal,awa_sn,International NGO,0.0,0.0,58.333333333333336,19.444444444444446
Amref Health Africa in Tanzania,amreftz,International NGO,0.0,0.0,69.72222222222223,23.240740740740744
Amref Health Africa in Uganda,amrefug,National NGO,25.0,0.0,76.38888888888889,33.7962962962963
Amref Health Africa Malawi,amrefmw,National NGO,0.0,0.0,0.0,0.0
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,National NGO,0.0,0.0,0.0,0.0
ANDA,anda,National NGO,0.0,0.0,22.77777777777778,7.592592592592593
Anti-Slavery International,asil,International NGO,0.0,0.0,59.583333333333336,19.86111111111111
APOPO,apopo,International NGO,25.0,100.0,86.38888888888889,70.46296296296296
APPRO-Europe,appro-eu,"Academic, Training and Research",0.0,0.0,0.0,0.0
APT Action on Poverty,apt,International NGO,12.5,0.0,0.0,4.166666666666667
Aqua for All,aqua4all,Foundation,37.5,0.0,86.4494301994302,41.316476733143396
Arab foundation for freedoms and equality,afemena,Regional NGO,0.0,0.0,0.0,0.0
Arab Reporters for Investigative Journalism,arij,"Academic, Training and Research",50.0,0.0,0.0,16.666666666666668
Arab Women Organization of Jordan,awo2022,National NGO,0.0,66.66666666666667,80.55555555555556,49.074074074074076
ARK (Absolute Return for Kids),ark,International NGO,0.0,0.0,67.36111111111111,22.453703703703706
ARK Group DMCC,arkgroupdmcc1,Private Sector,0.0,0.0,56.80555555555556,18.935185185185187
ARQ International,arq_intl,Foundation,0.0,0.0,56.25,18.75
Article19,art19,International NGO,37.5,0.0,0.0,12.5
Ashoka East Africa,ashoka,International NGO,0.0,0.0,0.0,0.0
Asia Justice and Rights,ajar,Regional NGO,0.0,0.0,0.0,0.0
Asian Coalition for Housing Rights,achr,Regional NGO,0.0,0.0,51.25,17.083333333333332
Asian Development Bank,asdb,Multilateral,100.0,98.0,85.88745062925076,94.62915020975026
Asociación Movimiento Feminista Por La Paz Ruta Pacífica de las Mujeres,rpm,Public Private Partnership,0.0,66.66666666666667,77.08333333333333,47.916666666666664
Asociación Profamilia,profamilia,Private Sector,0.0,0.0,74.30555555555556,24.76851851851852
Assistance Mission for Africa,ama-south-sudan,National NGO,0.0,66.66666666666667,86.11111111111111,50.925925925925924
Association Centrafricaine de Traduction de la Bible et Alphabetisation,acatba,National NGO,0.0,0.0,0.0,0.0
Association CHS Alliance,chs_alliance,International NGO,37.5,0.0,75.41666666666666,37.638888888888886
"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France",afdi-fr,Other Public Sector,0.0,0.0,0.0,0.0
Association de Soutien au Développement des Activités de Population,asdap,National NGO,0.0,0.0,88.19444444444444,29.39814814814815
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,National NGO,37.5,100.0,86.24338624338624,74.5811287477954
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",bapsa,National NGO,0.0,0.0,0.0,0.0
Association for Progressive Communication,apc,International NGO,12.5,2.6666666666666665,72.81332671957672,29.32666446208113
Association for Reproductive and Family Health,arfh,National NGO,0.0,0.0,0.0,0.0
Association for Women's Rights in Development (AWID),awid,International NGO,12.5,66.66666666666667,78.42592592592591,52.53086419753086
Association of Commonwealth Universities,acu,"Academic, Training and Research",0.0,0.0,0.0,0.0
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,Other Public Sector,0.0,0.0,0.0,0.0
Atos IT Services Ltd,atosuk,Private Sector,0.0,0.0,65.64814814814815,21.88271604938272
Atradius Dutch State Business,adsb,Private Sector,12.5,0.0,67.23456790123457,26.578189300411523
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,"Academic, Training and Research",0.0,0.0,78.87731481481481,26.292438271604937
Australia - Department of  Foreign Affairs and Trade,ausgov,Government,0.0,0.0,0.0,0.0
Auto-Développement Afrique (ADA),ada,National NGO,0.0,0.0,0.0,0.0
Autre Terre asbl,a-t,"Academic, Training and Research",37.5,100.0,85.31746031746032,74.27248677248677
AUXFIN Burundi,auxfinbi,Private Sector,37.5,0.0,0.0,12.5
AUXFIN International B.V.,auxfinintl,Private Sector,37.5,100.0,86.11111111111111,74.53703703703704
Avanti Communications Plc,ava_admin,Private Sector,0.0,0.0,74.30555555555556,24.76851851851852
Avocats Sans Frontières,asf,National NGO,50.0,84.0,87.19135802469135,73.73045267489711
AVSI FOUNDATION IN UGANDA,avsi_uganda,International NGO,37.5,0.0,89.44444444444444,42.31481481481482
AVSI South Sudan,avsi-ssd,International NGO,0.0,0.0,94.44444444444444,31.48148148148148
AVT-L Association of Victims of Terrorism Lebanon,avt-l,National NGO,0.0,0.0,54.02777777777778,18.00925925925926
Awake Travel,awaketravel,Private Sector,0.0,0.0,63.05555555555556,21.01851851851852
AWEPA,awepa,International NGO,0.0,0.0,0.0,0.0
B. P. Koirala Institute of Health Sciences,bpkihs_dharan,"Academic, Training and Research",0.0,0.0,0.0,0.0
Babawatoto Centre For Children and Youth,bawacecy-tz,National NGO,0.0,0.0,74.30555555555556,24.76851851851852
Backward Society Education (BASE),base_22,National NGO,0.0,0.0,53.19444444444444,17.73148148148148
Balloon Ventures Foundation,bvf,International NGO,0.0,0.0,82.63888888888889,27.546296296296294
Bangladesh Business and Disability Network,bbdn,National NGO,0.0,0.0,71.52777777777777,23.84259259259259
Bangladesh Nari Progati Sangha,bnps,National NGO,0.0,0.0,0.0,0.0
Bangladesh Primary Care Respiratory Society,bpcrs,"Academic, Training and Research",0.0,0.0,0.0,0.0
Bangladesh Youth Leadership Center,bylc,National NGO,0.0,0.0,49.44444444444444,16.48148148148148
Bani Abdurrahman Wahid Foundation (YBAW),ybawahid,Foundation,0.0,0.0,0.0,0.0
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,boadiita,Multilateral,37.5,100.0,70.1923076923077,69.23076923076923
Basel Institute on Governance,basel_institute,Foundation,0.0,16.666666666666668,54.30555555555556,23.65740740740741
BasicNeeds,basicneeds,International NGO,0.0,0.0,62.47222222222222,20.824074074074073
Basil Energetics Private Limited,bepl,Private Sector,25.0,0.0,60.27777777777778,28.425925925925924
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,National NGO,0.0,0.0,0.0,0.0
BBC Media Action,bbcmediaaction,International NGO,25.0,0.0,70.5462962962963,31.84876543209877
Bboxx,bboxx,Private Sector,12.5,0.0,57.5,23.333333333333332
BDO LLP,bdo,Private Sector,0.0,0.0,70.83333333333333,23.61111111111111
Bees Abroad UK,bauk,International NGO,0.0,0.0,0.0,0.0
Bees for Development Trust,beesfordevelopment,International NGO,0.0,0.0,0.0,0.0
Behavioural Insights Team,bit,Private Sector,0.0,0.0,65.27777777777777,21.759259259259256
Belgian development agency (Enabel),enabel,Government,12.5,0.0,74.91500829187396,29.13833609729132
Belgian Development Cooperation,be-dgd,Government,100.0,48.0,86.99319896776983,78.33106632258995
Berytech Foundation,berytech,Foundation,0.0,0.0,51.80555555555556,17.26851851851852
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,National NGO,37.5,100.0,83.33333333333333,73.6111111111111
BFA Global Kenya Ltd,bfa_global,Private Sector,0.0,0.0,59.02777777777778,19.675925925925927
Bibliothèques Sans Frontières,bsf1,International NGO,50.0,100.0,73.61111111111111,74.53703703703704
Bill & Melinda Gates Foundation,bmgf,Foundation,87.5,43.0,93.54722439581158,74.6824081319372
Bioclimate Research and Development,bioclimate,International NGO,0.0,0.0,65.60185185185185,21.86728395061728
Blue Ventures Conservation,blueventures,International NGO,0.0,0.0,0.0,0.0
Bond,bond,National NGO,0.0,0.0,0.0,0.0
BOS+ tropen,bos_plus_tropen,National NGO,37.5,100.0,85.07936507936508,74.19312169312168
Boston University,bu-carbx-admin,"Academic, Training and Research",62.5,0.0,61.21187363834423,41.23729121278141
Both ENDS,bothends,National NGO,12.5,0.0,84.25925925925925,32.25308641975308
BRAC,brac_admin2,International NGO,0.0,0.0,0.0,0.0
BRAC UK,bracuk,International NGO,37.5,0.0,67.75462962962963,35.08487654320988
BRAC University,bu,"Academic, Training and Research",0.0,0.0,47.111111111111114,15.703703703703704
Brigham and Women's Hospital,bwh,"Academic, Training and Research",0.0,0.0,0.0,0.0
Brink Innovation,brink_innovation,Private Sector,0.0,0.0,0.0,0.0
British & Irish Agencies Afghanistan Group,baag,International NGO,0.0,0.0,0.0,0.0
British Asian Trust,b_a_t,International NGO,75.0,33.333333333333336,72.56944444444444,60.300925925925924
British Council,britishcouncil,Other Public Sector,75.0,76.33333333333333,73.1875,74.84027777777777
British International Investment plc,bii,Other Public Sector,25.0,0.0,72.65712682379349,32.55237560793116
British Red Cross,gb-chc-220949,International NGO,75.0,1.3333333333333333,66.22682096045435,47.52005143126255
Broederlijk Delen,bd,National NGO,37.5,100.0,85.62289562289563,74.3742985409652
Brujula Comunicaciones Estrategicas SAS,brujula,Private Sector,0.0,0.0,0.0,0.0
Brulocalis,brulocalis,Other Public Sector,37.5,100.0,84.72222222222223,74.07407407407408
BSR,bsr_admin,International NGO,0.0,0.0,73.95833333333333,24.652777777777775
Bucks Community NGO,bucksfarm,National NGO,0.0,0.0,0.0,0.0
Buddhist Compassion Relief Tzu Chi Foundation,tzuchiuk,National NGO,0.0,0.0,0.0,0.0
Build Africa,buildafrica,International NGO,0.0,0.0,0.0,0.0
Burns Violence Survivors - Nepal,bvs-nepal,National NGO,0.0,0.0,0.0,0.0
Burundi Leadership Training Programme,bltp,National NGO,12.5,0.0,74.86111111111111,29.12037037037037
Business in the Community,bitc,International NGO,0.0,0.0,63.05555555555556,21.01851851851852
Business Watch Indonesia,bwi,National NGO,0.0,66.66666666666667,83.33333333333333,50.0
C40 Cities Climate Leadership Group,c40cities,"Academic, Training and Research",0.0,0.0,68.05555555555556,22.685185185185187
CABI,cabi,Multilateral,37.5,0.0,73.26388888888889,36.9212962962963
Cambridge Institute for Sustainability Leadership,cisl,"Academic, Training and Research",12.5,0.0,65.27777777777777,25.925925925925924
Camfed International,camfed,International NGO,0.0,0.0,64.58333333333333,21.527777777777775
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,Government,75.0,57.333333333333336,92.36696685894353,74.90010006409229
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,Other Public Sector,62.5,0.0,82.7758278283494,48.42527594278314
Canada Department of Finance / Ministère des Finances Canada,finance_canada,Government,0.0,0.0,0.0,0.0
CANADEM,canadem,International NGO,37.5,0.0,67.1474358974359,34.88247863247863
Canon Collins Trust,canoncollinstrust,International NGO,0.0,0.0,76.38888888888889,25.462962962962962
CAPABUILD,capabui,International NGO,0.0,0.0,70.57291666666667,23.524305555555557
Carbon Trust (Beijing) Consulting Limited,ctbeijing,Private Sector,0.0,0.0,0.0,0.0
Carbon Trust Advisory Ltd,carbontrustadvisory,Private Sector,25.0,100.0,80.55555555555556,68.51851851851852
Cardno Emerging Markets,cardnoem,Private Sector,37.5,0.0,0.0,12.5
CARE BENIN/TOGO,carebenintogo,International NGO,12.5,0.0,79.86111111111111,30.787037037037038
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,National NGO,87.5,0.0,65.0925925925926,50.8641975308642
CARE International Afghanistan,ciafg,International NGO,0.0,0.0,0.0,0.0
CARE international foundation Switzerland in Sudan,cis,International NGO,0.0,0.0,0.0,0.0
CARE International in Zimbabwe,ciz,International NGO,0.0,0.0,0.0,0.0
CARE International UK,ciuk,International NGO,75.0,0.0,69.64578213657387,48.21526071219129
CARE Nederland,carenederland,International NGO,87.5,9.333333333333334,69.62191358024693,55.48508230452675
CARE Nepal,cnepal,International NGO,0.0,0.0,0.0,0.0
CARE SOMALIA,csom1,National NGO,87.5,0.0,74.30555555555556,53.93518518518518
Carers Worldwide,cww,International NGO,0.0,0.0,0.0,0.0
Caribbean Development Bank (CDB),caribank,Multilateral,12.5,6.666666666666667,67.06349206349206,28.743386243386244
Caritas Denmark,caritas_denmark,National NGO,87.5,0.0,77.17803030303031,54.89267676767677
Caritas Finland,caritasfin,National NGO,0.0,0.0,0.0,0.0
Caritas International (Belgium),cibe,National NGO,37.5,100.0,84.72222222222223,74.07407407407408
Caritas Serbia,caritas_serbia,National NGO,0.0,0.0,0.0,0.0
CARPO - Center for Applied Research in Partnership with the Orient,carpo,International NGO,0.0,0.0,0.0,0.0
Catholic Agency For Overseas Development (CAFOD),cafod,International NGO,62.5,1.0,77.54581964387582,47.01527321462527
Catholic Relief Services,crs,International NGO,75.0,33.333333333333336,84.375,64.23611111111111
CDA Collaborative Learning Projects,cda,International NGO,0.0,0.0,53.47222222222222,17.824074074074073
CDAC Network,cdacnetwork,International NGO,0.0,0.0,69.54861111111111,23.18287037037037
CDP Worldwide,cdp,International NGO,87.5,0.0,58.05555555555556,48.51851851851851
Cecily's Fund,cecily,International NGO,0.0,0.0,68.05555555555556,22.685185185185187
Center for Church-Based Development,cku,International NGO,75.0,84.33333333333333,70.83385547201337,76.72239626844889
Center for Civilians in Conflict,civic_admin,International NGO,12.5,0.0,76.38888888888889,29.62962962962963
Center for Development and Integration,cdi_vn_2021,National NGO,0.0,0.0,86.11111111111111,28.703703703703706
Center for International Legal Cooperation (CILC),cilc,Foundation,0.0,0.0,0.0,0.0
Center for Participation and Development,cpd_2021,National NGO,0.0,0.0,56.25,18.75
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,National NGO,0.0,0.0,68.61111111111111,22.87037037037037
"Center for Research, Evaluation Resources and Development (CRERD)",crerd_ng,National NGO,0.0,0.0,74.30555555555556,24.76851851851852
