Publisher Name,Publisher Registry Id,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,Time lag
ACTIONAID INTERNATIONAL KENYA,aaik,3,2,1,3,2,1,2,3,1,1,3,0,One month
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,102,147,83,68,83,91,60,100,109,79,35,0,One month
Action Against Hunger UK,acf,14,6,11,3,6,17,5,14,19,11,18,7,One month
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,0,2,0,0,0,0,3,62,29,50,0,1,One month
ActionAid UK,aauk,12,15,15,11,8,16,14,15,9,13,11,11,One month
African Development Bank,afdb,1209,778,856,1280,906,431,430,898,607,935,604,343,One month
Agence Française de Développement,afd,0,0,0,89,230,610,0,14,87,0,1,294,One month
Aqua for All,aqua4all,11,4,3,7,20,23,15,7,8,3,3,1,One month
Asian Development Bank,asdb,3178,3208,3221,3201,3212,3282,3226,3221,3237,3226,3253,0,One month
Atradius Dutch State Business,adsb,0,4,2,4,2,8,6,2,2,6,2,8,One month
Belgian Development Cooperation,be-dgd,40,34,47,51,75,312,90,45,27,39,64,73,One month
Bill & Melinda Gates Foundation,bmgf,177,204,208,301,362,63,111,125,196,128,139,125,One month
CARE International UK,ciuk,36,22,9,21,24,22,11,21,18,22,7,13,One month
CARE Nederland,carenederland,3,8,7,10,9,13,8,5,14,18,3,14,One month
CGIAR,cgiar,102,56,96,108,76,110,190,22,20,50,2,10,One month
CISU,cisu,26,38,53,61,62,70,66,58,60,35,41,98,One month
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,110,110,145,92,143,175,109,142,386,38,48,102,One month
Canada Department of Finance / Ministère des Finances Canada,finance_canada,0,0,0,0,0,0,10,0,2,2,2,2,One month
Caribbean Development Bank (CDB),caribank,6,0,3,3,0,1,9,4,4,5,3,3,One month
Catholic Agency For Overseas Development (CAFOD),cafod,97,105,88,120,102,147,105,123,252,97,97,124,One month
Centro de Aprendizagem e Capacitação da Sociedade Civil,cesc,1,3,1,2,1,3,1,1,1,13,7,6,One month
Christian Aid,caid,77,123,368,155,132,344,78,134,432,11,0,175,One month
Coalition for Epidemic Preparedness Innovations,cepi,5,4,4,6,5,8,2,1,4,2,2,0,One month
Cowater International Inc,cowater,5,6,6,7,2,4,1,2,3,1,3,3,One month
DanChurchAid,dca,0,0,0,0,0,0,0,1,1,1,1,0,One month
Danish Refugee Council,drc,6,2,75,0,2,9,4,2,6,3,4,2,One month
"Denmark - Ministry of Foreign Affairs, Danida",danida,984,831,867,818,840,1871,618,643,803,846,616,759,One month
Development Initiatives Poverty Research,dipr,384,280,297,331,331,258,420,393,410,275,261,183,One month
